time,longitude,latitude
2016-02-10 10:23:00,-14.757502,-30.1783
2016-02-10 10:24:00,-14.756143,-30.178163
2016-02-10 10:25:00,-14.754792,-30.178017
2016-02-10 10:26:00,-14.753442,-30.177872
2016-02-10 10:27:00,-14.752102,-30.177698
2016-02-10 10:28:00,-14.750752,-30.177517
2016-02-10 10:29:00,-14.749393,-30.177353
2016-02-10 10:30:00,-14.748055,-30.177233
2016-02-10 10:31:00,-14.746712,-30.177095
2016-02-10 10:32:00,-14.745353,-30.176943
2016-02-10 10:33:00,-14.744005,-30.17681
2016-02-10 10:34:00,-14.742667,-30.176663
2016-02-10 10:35:00,-14.74135,-30.176455
2016-02-10 10:36:00,-14.740008,-30.176323
2016-02-10 10:37:00,-14.738677,-30.176182
2016-02-10 10:38:00,-14.737322,-30.176038
2016-02-10 10:39:00,-14.735977,-30.175877
2016-02-10 10:40:00,-14.734627,-30.175732
2016-02-10 10:41:00,-14.733272,-30.17558
2016-02-10 10:42:00,-14.731933,-30.175435
2016-02-10 10:43:00,-14.730603,-30.17529
2016-02-10 10:44:00,-14.729262,-30.175142
2016-02-10 10:45:00,-14.727932,-30.174965
2016-02-10 10:46:00,-14.726602,-30.174843
2016-02-10 10:47:00,-14.725268,-30.17469
2016-02-10 10:48:00,-14.723945,-30.17454
2016-02-10 10:49:00,-14.722613,-30.174365
2016-02-10 10:50:00,-14.721278,-30.174227
2016-02-10 10:51:00,-14.719938,-30.174088
2016-02-10 10:52:00,-14.718592,-30.173932
2016-02-10 10:53:00,-14.717255,-30.173773
2016-02-10 10:54:00,-14.715925,-30.173608
2016-02-10 10:55:00,-14.714597,-30.173458
2016-02-10 10:56:00,-14.713283,-30.173325
2016-02-10 10:57:00,-14.711988,-30.173198
2016-02-10 10:58:00,-14.710677,-30.173052
2016-02-10 10:59:00,-14.709338,-30.172922
2016-02-10 11:00:00,-14.708005,-30.172763
2016-02-10 11:01:00,-14.706663,-30.172595
2016-02-10 11:02:00,-14.705333,-30.172442
2016-02-10 11:03:00,-14.704002,-30.172305
2016-02-10 11:04:00,-14.70267,-30.172148
2016-02-10 11:05:00,-14.701327,-30.17203
2016-02-10 11:06:00,-14.699985,-30.171908
2016-02-10 11:07:00,-14.698655,-30.17173
2016-02-10 11:08:00,-14.697317,-30.171573
2016-02-10 11:09:00,-14.695978,-30.171425
2016-02-10 11:10:00,-14.694657,-30.171262
2016-02-10 11:11:00,-14.693325,-30.171153
2016-02-10 11:12:00,-14.69199,-30.171027
2016-02-10 11:13:00,-14.690665,-30.170867
2016-02-10 11:14:00,-14.68934,-30.170688
2016-02-10 11:15:00,-14.688013,-30.170553
2016-02-10 11:16:00,-14.686685,-30.170415
2016-02-10 11:17:00,-14.685382,-30.170267
2016-02-10 11:18:00,-14.684078,-30.170095
2016-02-10 11:19:00,-14.682758,-30.169987
2016-02-10 11:20:00,-14.681438,-30.16983
2016-02-10 11:21:00,-14.680092,-30.169685
2016-02-10 11:22:00,-14.678762,-30.169505
2016-02-10 11:23:00,-14.67742,-30.169368
2016-02-10 11:24:00,-14.67606,-30.169235
2016-02-10 11:25:00,-14.67471,-30.169077
2016-02-10 11:26:00,-14.673345,-30.16894
2016-02-10 11:27:00,-14.67198,-30.16878
2016-02-10 11:28:00,-14.670608,-30.16864
2016-02-10 11:29:00,-14.66925,-30.168492
2016-02-10 11:30:00,-14.667893,-30.168332
2016-02-10 11:31:00,-14.666545,-30.168155
2016-02-10 11:32:00,-14.665183,-30.168035
2016-02-10 11:33:00,-14.663838,-30.167865
2016-02-10 11:34:00,-14.662492,-30.167762
2016-02-10 11:35:00,-14.661143,-30.167585
2016-02-10 11:36:00,-14.659797,-30.167417
2016-02-10 11:37:00,-14.658432,-30.16728
2016-02-10 11:38:00,-14.657062,-30.167115
2016-02-10 11:39:00,-14.65568,-30.166985
2016-02-10 11:40:00,-14.654295,-30.166825
2016-02-10 11:41:00,-14.652945,-30.16667
2016-02-10 11:42:00,-14.651608,-30.1665
2016-02-10 11:43:00,-14.65027,-30.166363
2016-02-10 11:44:00,-14.648938,-30.1662
2016-02-10 11:45:00,-14.647608,-30.16606
2016-02-10 11:46:00,-14.64627,-30.165912
2016-02-10 11:47:00,-14.644942,-30.165763
2016-02-10 11:48:00,-14.643613,-30.165607
2016-02-10 11:49:00,-14.64229,-30.165455
2016-02-10 11:50:00,-14.640958,-30.165323
2016-02-10 11:51:00,-14.63962,-30.16518
2016-02-10 11:52:00,-14.638298,-30.165005
2016-02-10 11:53:00,-14.636968,-30.16487
2016-02-10 11:54:00,-14.635647,-30.164722
2016-02-10 11:55:00,-14.634317,-30.164555
2016-02-10 11:56:00,-14.63299,-30.164425
2016-02-10 11:57:00,-14.631662,-30.164272
2016-02-10 11:58:00,-14.630335,-30.16412
2016-02-10 11:59:00,-14.629025,-30.163943
2016-02-10 12:00:00,-14.62769,-30.163795
2016-02-10 12:01:00,-14.626343,-30.163672
2016-02-10 12:02:00,-14.624993,-30.163545
2016-02-10 12:03:00,-14.62365,-30.163387
2016-02-10 12:04:00,-14.622312,-30.16322
2016-02-10 12:05:00,-14.620962,-30.163097
2016-02-10 12:06:00,-14.619615,-30.162905
2016-02-10 12:07:00,-14.618267,-30.162767
2016-02-10 12:08:00,-14.616915,-30.162632
2016-02-10 12:09:00,-14.615568,-30.162483
2016-02-10 12:10:00,-14.61423,-30.162337
2016-02-10 12:11:00,-14.612895,-30.16215
2016-02-10 12:12:00,-14.611558,-30.161985
2016-02-10 12:13:00,-14.610235,-30.161865
2016-02-10 12:14:00,-14.608913,-30.161705
2016-02-10 12:15:00,-14.607585,-30.161585
2016-02-10 12:16:00,-14.606257,-30.161447
2016-02-10 12:17:00,-14.604935,-30.161278
2016-02-10 12:18:00,-14.603608,-30.16115
2016-02-10 12:19:00,-14.602298,-30.160997
2016-02-10 12:20:00,-14.600983,-30.16087
2016-02-10 12:21:00,-14.599688,-30.160713
2016-02-10 12:22:00,-14.598387,-30.160558
2016-02-10 12:23:00,-14.597097,-30.160403
2016-02-10 12:24:00,-14.595813,-30.16023
2016-02-10 12:25:00,-14.594518,-30.160107
2016-02-10 12:26:00,-14.593227,-30.159983
2016-02-10 12:27:00,-14.591948,-30.159843
2016-02-10 12:28:00,-14.59068,-30.159685
2016-02-10 12:29:00,-14.589405,-30.159563
2016-02-10 12:30:00,-14.588115,-30.159388
2016-02-10 12:31:00,-14.586822,-30.15926
2016-02-10 12:32:00,-14.585548,-30.159082
2016-02-10 12:33:00,-14.584282,-30.158958
2016-02-10 12:34:00,-14.583023,-30.15885
2016-02-10 12:35:00,-14.581757,-30.158713
2016-02-10 12:36:00,-14.580492,-30.15858
2016-02-10 12:37:00,-14.579217,-30.158437
2016-02-10 12:38:00,-14.57796,-30.158258
2016-02-10 12:39:00,-14.576698,-30.158088
2016-02-10 12:40:00,-14.575435,-30.157948
2016-02-10 12:41:00,-14.574155,-30.157842
2016-02-10 12:42:00,-14.572843,-30.15772
2016-02-10 12:43:00,-14.571537,-30.157567
2016-02-10 12:44:00,-14.570252,-30.157387
2016-02-10 12:45:00,-14.568967,-30.157228
2016-02-10 12:46:00,-14.56766,-30.157108
2016-02-10 12:47:00,-14.56636,-30.156967
2016-02-10 12:48:00,-14.565067,-30.156857
2016-02-10 12:49:00,-14.563768,-30.156698
2016-02-10 12:50:00,-14.562447,-30.156572
2016-02-10 12:51:00,-14.561102,-30.156402
2016-02-10 12:52:00,-14.55975,-30.156265
2016-02-10 12:53:00,-14.5584,-30.156105
2016-02-10 12:54:00,-14.557053,-30.155977
2016-02-10 12:55:00,-14.555697,-30.155827
2016-02-10 12:56:00,-14.554322,-30.155692
2016-02-10 12:57:00,-14.552957,-30.155518
2016-02-10 12:58:00,-14.551597,-30.155333
2016-02-10 12:59:00,-14.550228,-30.155207
2016-02-10 13:00:00,-14.548845,-30.155077
2016-02-10 13:01:00,-14.547498,-30.154903
2016-02-10 13:02:00,-14.546145,-30.15473
2016-02-10 13:03:00,-14.544807,-30.15459
2016-02-10 13:04:00,-14.543442,-30.15445
2016-02-10 13:05:00,-14.542117,-30.154263
2016-02-10 13:06:00,-14.540768,-30.154108
2016-02-10 13:07:00,-14.539422,-30.153992
2016-02-10 13:08:00,-14.538068,-30.153863
2016-02-10 13:09:00,-14.53674,-30.153725
2016-02-10 13:10:00,-14.535408,-30.153558
2016-02-10 13:11:00,-14.534083,-30.153402
2016-02-10 13:12:00,-14.532747,-30.153263
2016-02-10 13:13:00,-14.531423,-30.153103
2016-02-10 13:14:00,-14.530073,-30.152943
2016-02-10 13:15:00,-14.528752,-30.1528
2016-02-10 13:16:00,-14.527412,-30.152638
2016-02-10 13:17:00,-14.526067,-30.152495
2016-02-10 13:18:00,-14.524727,-30.152332
2016-02-10 13:19:00,-14.523372,-30.152198
2016-02-10 13:20:00,-14.522025,-30.151998
2016-02-10 13:21:00,-14.520685,-30.151878
2016-02-10 13:22:00,-14.51937,-30.151772
2016-02-10 13:23:00,-14.51812,-30.151575
2016-02-10 13:24:00,-14.516878,-30.151418
2016-02-10 13:25:00,-14.51561,-30.151307
2016-02-10 13:26:00,-14.514327,-30.15119
2016-02-10 13:27:00,-14.513,-30.151047
2016-02-10 13:28:00,-14.51167,-30.150878
2016-02-10 13:29:00,-14.510338,-30.150712
2016-02-10 13:30:00,-14.509023,-30.150553
2016-02-10 13:31:00,-14.507698,-30.150405
2016-02-10 13:32:00,-14.506402,-30.150283
2016-02-10 13:33:00,-14.505098,-30.150113
2016-02-10 13:34:00,-14.503768,-30.14995
2016-02-10 13:35:00,-14.502432,-30.149818
2016-02-10 13:36:00,-14.501082,-30.149672
2016-02-10 13:37:00,-14.499732,-30.149553
2016-02-10 13:38:00,-14.498412,-30.149402
2016-02-10 13:39:00,-14.497133,-30.149265
2016-02-10 13:40:00,-14.495943,-30.149072
2016-02-10 13:41:00,-14.494742,-30.148935
2016-02-10 13:42:00,-14.49353,-30.148812
2016-02-10 13:43:00,-14.492283,-30.148673
2016-02-10 13:44:00,-14.491022,-30.148538
2016-02-10 13:45:00,-14.489735,-30.148398
2016-02-10 13:46:00,-14.488458,-30.148227
2016-02-10 13:47:00,-14.48716,-30.148055
2016-02-10 13:48:00,-14.485877,-30.147915
2016-02-10 13:49:00,-14.484568,-30.147793
2016-02-10 13:50:00,-14.483255,-30.147637
2016-02-10 13:51:00,-14.481938,-30.1475
2016-02-10 13:52:00,-14.480618,-30.147365
2016-02-10 13:53:00,-14.479295,-30.147247
2016-02-10 13:54:00,-14.478002,-30.147062
2016-02-10 13:55:00,-14.476718,-30.146925
2016-02-10 13:56:00,-14.47545,-30.146778
2016-02-10 13:57:00,-14.474175,-30.146638
2016-02-10 13:58:00,-14.472888,-30.146482
2016-02-10 13:59:00,-14.471617,-30.146323
2016-02-10 14:00:00,-14.47033,-30.146175
2016-02-10 14:01:00,-14.469028,-30.14606
2016-02-10 14:02:00,-14.467747,-30.145927
2016-02-10 14:03:00,-14.466458,-30.145775
2016-02-10 14:04:00,-14.465162,-30.14564
2016-02-10 14:05:00,-14.463873,-30.145463
2016-02-10 14:06:00,-14.462573,-30.145348
2016-02-10 14:07:00,-14.461248,-30.145208
2016-02-10 14:08:00,-14.459927,-30.145023
2016-02-10 14:09:00,-14.458607,-30.144888
2016-02-10 14:10:00,-14.45729,-30.144715
2016-02-10 14:11:00,-14.455958,-30.144578
2016-02-10 14:12:00,-14.454682,-30.14435
2016-02-10 14:13:00,-14.45338,-30.144255
2016-02-10 14:14:00,-14.45206,-30.144157
2016-02-10 14:15:00,-14.45074,-30.143973
2016-02-10 14:16:00,-14.449425,-30.14381
2016-02-10 14:17:00,-14.448088,-30.143655
2016-02-10 14:18:00,-14.446737,-30.14351
2016-02-10 14:19:00,-14.445383,-30.143347
2016-02-10 14:20:00,-14.444048,-30.143213
2016-02-10 14:21:00,-14.442737,-30.143082
2016-02-10 14:22:00,-14.441413,-30.142943
2016-02-10 14:23:00,-14.440127,-30.142797
2016-02-10 14:24:00,-14.438843,-30.142662
2016-02-10 14:25:00,-14.437535,-30.142493
2016-02-10 14:26:00,-14.436255,-30.14234
2016-02-10 14:27:00,-14.434953,-30.142228
2016-02-10 14:28:00,-14.433655,-30.142073
