Name,Sex,Age,Height,Weight,Team,Year,Event,Medal
Albert Idel Bravo Morales,M,24.0,199.0,88.0,Venezuela,2012,Athletics Men's 400 meters,
Albert Idel Bravo Morales,M,28.0,199.0,88.0,Venezuela,2016,Athletics Men's 400 meters,
Nery Antonio Brenes Crdenas,M,22.0,175.0,70.0,Costa Rica,2008,Athletics Men's 400 meters,
Nery Antonio Brenes Crdenas,M,26.0,175.0,70.0,Costa Rica,2012,Athletics Men's 400 meters,
Nery Antonio Brenes Crdenas,M,30.0,175.0,70.0,Costa Rica,2016,Athletics Men's 400 meters,
Derrick Keith Brew,M,26.0,185.0,81.0,United States,2004,Athletics Men's 400 meters,Bronze
"Frederick William ""Federico"" Brewster",M,18.0,175.0,64.0,Argentina,1924,Athletics Men's 400 meters,
Robbie Ian Brightwell,M,20.0,188.0,81.0,Great Britain,1960,Athletics Men's 400 meters,
Robbie Ian Brightwell,M,24.0,188.0,81.0,Great Britain,1964,Athletics Men's 400 meters,
"Alfons ""Fons"" Brijdenbach",M,21.0,185.0,77.0,Belgium,1976,Athletics Men's 400 meters,
"Alfons ""Fons"" Brijdenbach",M,25.0,185.0,77.0,Belgium,1980,Athletics Men's 400 meters,
"George Melbourne ""Mel"" Brock",M,24.0,181.0,78.0,Canada,1912,Athletics Men's 400 meters,
"Henricus Adrianus ""Harry"" Broos",M,29.0,,,Netherlands,1928,Athletics Men's 400 meters,
"Christopher Deon ""Chris"" Brown",M,21.0,178.0,75.0,Bahamas,2000,Athletics Men's 400 meters,
"Christopher Deon ""Chris"" Brown",M,25.0,178.0,75.0,Bahamas,2004,Athletics Men's 400 meters,
"Christopher Deon ""Chris"" Brown",M,29.0,178.0,75.0,Bahamas,2008,Athletics Men's 400 meters,
"Christopher Deon ""Chris"" Brown",M,33.0,178.0,75.0,Bahamas,2012,Athletics Men's 400 meters,
"Christopher Deon ""Chris"" Brown",M,37.0,178.0,75.0,Bahamas,2016,Athletics Men's 400 meters,
Arthur Godfrey Kilner Brown,M,21.0,183.0,70.0,Great Britain,1936,Athletics Men's 400 meters,Silver
"Philip Andrew ""Phil"" Brown",M,22.0,180.0,73.0,Great Britain,1984,Athletics Men's 400 meters,
Alfred Browne,M,25.0,179.0,72.0,Antigua and Barbuda,1984,Athletics Men's 400 meters,
Alfred Browne,M,29.0,179.0,72.0,Antigua and Barbuda,1988,Athletics Men's 400 meters,
Yngvar Bryn,M,18.0,,,Norway,1900,Athletics Men's 400 meters,
Ivano Bucci,M,21.0,180.0,80.0,San Marino,2008,Athletics Men's 400 meters,
