Name,Sex,Age,Height,Weight,Team,Year,Event,Medal
Juan Ignacio Cerra,M,31.0,180.0,100.0,Argentina,2008,Athletics Men's Hammer Throw,
Juan Ignacio Cerra,M,35.0,180.0,100.0,Argentina,2012,Athletics Men's Hammer Throw,
Charles Chadwick,M,29.0,,,United States,1904,Athletics Men's Hammer Throw,
Ji Chamrd,M,26.0,181.0,98.0,Czechoslovakia,1980,Athletics Men's Hammer Throw,
Andrs Charadia Alfieri,M,22.0,192.0,100.0,Argentina,1988,Athletics Men's Hammer Throw,
Andrs Charadia Alfieri,M,26.0,192.0,100.0,Argentina,1992,Athletics Men's Hammer Throw,
Andrs Charadia Alfieri,M,30.0,192.0,100.0,Argentina,1996,Athletics Men's Hammer Throw,
Libor Charfreitag,M,23.0,191.0,115.0,Slovakia,2000,Athletics Men's Hammer Throw,
Libor Charfreitag,M,26.0,191.0,115.0,Slovakia,2004,Athletics Men's Hammer Throw,
Libor Charfreitag,M,30.0,191.0,115.0,Slovakia,2008,Athletics Men's Hammer Throw,
David Chaussinand,M,27.0,193.0,99.0,France,2000,Athletics Men's Hammer Throw,
Murray Spencer Cheater,M,29.0,178.0,100.0,New Zealand,1976,Athletics Men's Hammer Throw,
Clarence Chester Childs,M,28.0,183.0,102.0,United States,1912,Athletics Men's Hammer Throw,Bronze
Javier Cienfuegos Pinilla,M,22.0,187.0,110.0,Spain,2012,Athletics Men's Hammer Throw,
Javier Cienfuegos Pinilla,M,26.0,187.0,110.0,Spain,2016,Athletics Men's Hammer Throw,
Olgierd Ciepy,M,24.0,184.0,94.0,Poland,1960,Athletics Men's Hammer Throw,
Olgierd Ciepy,M,28.0,184.0,94.0,Poland,1964,Athletics Men's Hammer Throw,
Walter Ciofani,M,22.0,185.0,110.0,France,1984,Athletics Men's Hammer Throw,
Duncan McDougall Munro Clark,M,33.0,181.0,95.0,Great Britain,1948,Athletics Men's Hammer Throw,
Duncan McDougall Munro Clark,M,37.0,181.0,95.0,Great Britain,1952,Athletics Men's Hammer Throw,
Dorian ollaku,M,27.0,183.0,96.0,Albania,2004,Athletics Men's Hammer Throw,
Dorian ollaku,M,31.0,183.0,96.0,Albania,2008,Athletics Men's Hammer Throw,
"Harold Vincent ""Hal"" Connolly",M,25.0,183.0,106.0,United States,1956,Athletics Men's Hammer Throw,Gold
"Harold Vincent ""Hal"" Connolly",M,29.0,183.0,106.0,United States,1960,Athletics Men's Hammer Throw,
