Name,Sex,Age,Height,Weight,Team,Year,Event,Medal
Olesea Cojuhari,F,22.0,170.0,58.0,Moldova,2012,Athletics Women's 400 meters,
LaTasha Lavon Colander-Richardson (-Clark),F,24.0,168.0,52.0,United States,2000,Athletics Women's 400 meters,
Michelle E. Collins,F,29.0,177.0,62.0,United States,2000,Athletics Women's 400 meters,
Geisa Aparecida Muniz Coutinho,F,24.0,161.0,55.0,Brazil,2004,Athletics Women's 400 meters,
Geisa Aparecida Muniz Coutinho,F,32.0,161.0,55.0,Brazil,2012,Athletics Women's 400 meters,
Geisa Aparecida Muniz Coutinho,F,36.0,161.0,55.0,Brazil,2016,Athletics Women's 400 meters,
Anne Covell,F,18.0,160.0,48.0,Canada,1968,Athletics Women's 400 meters,
Shana Amanda Cox,F,27.0,172.0,75.0,Great Britain,2012,Athletics Women's 400 meters,
Charmaine A. Crooks (-Thorsen),F,21.0,175.0,58.0,Canada,1984,Athletics Women's 400 meters,
Charmaine A. Crooks (-Thorsen),F,26.0,175.0,58.0,Canada,1988,Athletics Women's 400 meters,
Joanne Cuddihy,F,24.0,184.0,64.0,Ireland,2008,Athletics Women's 400 meters,
Joanne Cuddihy,F,28.0,184.0,64.0,Ireland,2012,Athletics Women's 400 meters,
Allison Curbishley,F,24.0,167.0,58.0,Great Britain,2000,Athletics Women's 400 meters,
"Elizabeth Alyse ""Betty"" Cuthbert",F,26.0,169.0,57.0,Australia,1964,Athletics Women's 400 meters,Gold
Guilhermina P. da Cruz,F,26.0,155.0,50.0,Angola,1996,Athletics Women's 400 meters,
Svobodka Damyanova (-Mocheva),F,25.0,165.0,51.0,Bulgaria,1980,Athletics Women's 400 meters,
Marcia Fernanda Daniel,F,22.0,172.0,64.0,Dominica,2000,Athletics Women's 400 meters,
Djnbou Dant,F,26.0,176.0,73.0,Mali,2016,Athletics Women's 400 meters,
Fanta Dao,F,19.0,,,Mali,1992,Athletics Women's 400 meters,
Kia Davis,F,32.0,170.0,54.0,Liberia,2008,Athletics Women's 400 meters,
Pauline Elaine Davis-Thompson,F,30.0,167.0,57.0,Bahamas,1996,Athletics Women's 400 meters,
Nadia Davy,F,23.0,168.0,54.0,Jamaica,2004,Athletics Women's 400 meters,
Christine Day,F,25.0,168.0,51.0,Jamaica,2012,Athletics Women's 400 meters,
Christine Day,F,29.0,168.0,51.0,Jamaica,2016,Athletics Women's 400 meters,
Virna De Angeli (-Baldini-),F,20.0,168.0,56.0,Italy,1996,Athletics Women's 400 meters,
Jailma Sales de Lima,F,29.0,174.0,65.0,Brazil,2016,Athletics Women's 400 meters,
Elsa Devassoigne (-Black-),F,22.0,170.0,52.0,France,1992,Athletics Women's 400 meters,
Marilyn A. Dewarder,F,28.0,168.0,56.0,Guyana,1988,Athletics Women's 400 meters,
Kobala Vithanage Damayanthi Dharsha,F,25.0,169.0,58.0,Sri Lanka,2000,Athletics Women's 400 meters,
Kobala Vithanage Damayanthi Dharsha,F,29.0,169.0,58.0,Sri Lanka,2004,Athletics Women's 400 meters,
Emily Jane Diamond,F,25.0,173.0,58.0,Great Britain,2016,Athletics Women's 400 meters,
Mariana Dinkova Dimitrova,F,22.0,173.0,62.0,Bulgaria,2004,Athletics Women's 400 meters,
Grace Ann Dinkins,F,29.0,170.0,54.0,Liberia,1996,Athletics Women's 400 meters,
Diane Lynn Dixon (-Trouse),F,23.0,165.0,54.0,United States,1988,Athletics Women's 400 meters,
Temalangeni Mbali Dlamini,F,21.0,168.0,58.0,Swaziland,2008,Athletics Women's 400 meters,
Sandra Marie Douglas,F,25.0,162.0,55.0,Great Britain,1992,Athletics Women's 400 meters,
Dimitra Dova,F,34.0,184.0,70.0,Greece,2008,Athletics Women's 400 meters,
Lois Anne Drinkwater (-Thompson),F,17.0,170.0,57.0,United States,1968,Athletics Women's 400 meters,
"Stephanie ""Stephie"" D'Souza (Sequeira-)",F,27.0,158.0,50.0,India,1964,Athletics Women's 400 meters,
Du Xiujie,F,24.0,176.0,64.0,China,1996,Athletics Women's 400 meters,
Nicole Duclos (Salavert-),F,25.0,167.0,55.0,France,1972,Athletics Women's 400 meters,
Magorzata Dunecka (Gajewska-),F,23.0,176.0,67.0,Poland,1980,Athletics Women's 400 meters,
"Deborah Sue ""Debra"" Edwards-Armstrong",F,17.0,153.0,51.0,United States,1972,Athletics Women's 400 meters,
Marika Irene Eklund-Lindholm,F,24.0,173.0,62.0,Finland,1972,Athletics Women's 400 meters,
Marika Irene Eklund-Lindholm,F,28.0,173.0,62.0,Finland,1976,Athletics Women's 400 meters,
Ruwida El-Hubti,F,15.0,154.0,51.0,Libya,2004,Athletics Women's 400 meters,
Malbas Jamous Nawal El-Jack,F,19.0,150.0,54.0,Sudan,2008,Athletics Women's 400 meters,
Hala El-Moughrabi,F,21.0,,,Syria,1980,Athletics Women's 400 meters,
velyne lien,F,24.0,160.0,50.0,France,1988,Athletics Women's 400 meters,
Gail Emmanuel,F,21.0,175.0,58.0,Trinidad and Tobago,1984,Athletics Women's 400 meters,
Kirsten Emmelmann (Siemon-),F,27.0,173.0,63.0,East Germany,1988,Athletics Women's 400 meters,
Ginou Etienne,F,23.0,173.0,58.0,Haiti,2008,Athletics Women's 400 meters,
Joy Amechi Eze,F,20.0,165.0,64.0,Nigeria,2008,Athletics Women's 400 meters,
Fatou Bintou Fall,F,22.0,174.0,57.0,Senegal,2004,Athletics Women's 400 meters,
Zamzam Mohamed Farah,F,21.0,,,Somalia,2012,Athletics Women's 400 meters,
Allyson Michelle Felix,F,30.0,168.0,56.0,United States,2016,Athletics Women's 400 meters,Silver
Mable Fergerson (-Winn),F,17.0,170.0,60.0,United States,1972,Athletics Women's 400 meters,
Fabienne Ficher,F,22.0,175.0,61.0,France,1988,Athletics Women's 400 meters,
Maria Magnlia de Souza Figueiredo,F,24.0,170.0,60.0,Brazil,1988,Athletics Women's 400 meters,
Maria Magnlia de Souza Figueiredo,F,32.0,170.0,60.0,Brazil,1996,Athletics Women's 400 meters,
Maritza Figueroa Amador,F,24.0,,,Nicaragua,2000,Athletics Women's 400 meters,
Tatyana Pavlovna Firova,F,25.0,174.0,59.0,Russia,2008,Athletics Women's 400 meters,
Joan Fisher,F,19.0,169.0,58.0,Canada,1968,Athletics Women's 400 meters,
Lorna C. Forde (-Mitchell),F,24.0,155.0,55.0,Barbados,1976,Athletics Women's 400 meters,
Judit Forgcs,F,21.0,168.0,58.0,Hungary,1980,Athletics Women's 400 meters,
Judit Forgcs,F,33.0,168.0,58.0,Hungary,1992,Athletics Women's 400 meters,
Diane Gale Francis (Dunrod-),F,27.0,170.0,50.0,Saint Kitts and Nevis,1996,Athletics Women's 400 meters,
Phyllis Chanez Francis,F,24.0,180.0,72.0,United States,2016,Athletics Women's 400 meters,
Arely Franco Ramos,F,27.0,170.0,59.0,El Salvador,1996,Athletics Women's 400 meters,
Donna Karen Fraser,F,23.0,180.0,64.0,Great Britain,1996,Athletics Women's 400 meters,
Donna Karen Fraser,F,27.0,180.0,64.0,Great Britain,2000,Athletics Women's 400 meters,
Donna Karen Fraser,F,31.0,180.0,64.0,Great Britain,2004,Athletics Women's 400 meters,
Merlene Frazer,F,22.0,174.0,62.0,Jamaica,1996,Athletics Women's 400 meters,
"Catherine Astrid Salome ""Cathy"" Freeman",F,19.0,164.0,56.0,Australia,1992,Athletics Women's 400 meters,
"Catherine Astrid Salome ""Cathy"" Freeman",F,23.0,164.0,56.0,Australia,1996,Athletics Women's 400 meters,Silver
"Catherine Astrid Salome ""Cathy"" Freeman",F,27.0,164.0,56.0,Australia,2000,Athletics Women's 400 meters,Gold
Christel Frese (-Gerber),F,28.0,165.0,50.0,West Germany,1972,Athletics Women's 400 meters,
Helena Fuchsov (Dziurov-),F,31.0,179.0,68.0,Czech Republic,1996,Athletics Women's 400 meters,
Dagmar Fuhrmann (Jost-),F,22.0,171.0,57.0,West Germany,1976,Athletics Women's 400 meters,
Rose-Marie Gauthier,F,21.0,162.0,59.0,Haiti,1976,Athletics Women's 400 meters,
Patience Okon George,F,24.0,169.0,63.0,Nigeria,2016,Athletics Women's 400 meters,
Regina George Grause,F,21.0,176.0,61.0,Nigeria,2012,Athletics Women's 400 meters,
Daniela Simeonova Georgieva (Spasova-),F,30.0,169.0,58.0,Bulgaria,2000,Athletics Women's 400 meters,
Charmaine Ann Marie Gilgeous,F,20.0,165.0,56.0,Antigua and Barbuda,1992,Athletics Women's 400 meters,
Svetlana Valentinovna Goncharenko (Doronina-),F,25.0,173.0,63.0,Russia,1996,Athletics Women's 400 meters,
Norma Gonzlez Camilde,F,18.0,172.0,58.0,Colombia,2000,Athletics Women's 400 meters,
Donata Govoni (-Sandrini),F,24.0,170.0,53.0,Italy,1968,Athletics Women's 400 meters,
Donata Govoni (-Sandrini),F,28.0,170.0,53.0,Italy,1972,Athletics Women's 400 meters,
"Kimberly Elaine ""Kim"" Graham (-Miller)",F,25.0,163.0,58.0,United States,1996,Athletics Women's 400 meters,
Lorraine Graham (-Fenton),F,27.0,174.0,59.0,Jamaica,2000,Athletics Women's 400 meters,Silver
Cynthia Green,F,,,,Jamaica,1984,Athletics Women's 400 meters,
Josephine Mary Green (-Tagg),F,24.0,166.0,51.0,Great Britain,1968,Athletics Women's 400 meters,
Libania Grenot Martnez (-Scafetti),F,25.0,175.0,60.0,Italy,2008,Athletics Women's 400 meters,
Libania Grenot Martnez (-Scafetti),F,29.0,175.0,60.0,Italy,2012,Athletics Women's 400 meters,
Libania Grenot Martnez (-Scafetti),F,33.0,175.0,60.0,Italy,2016,Athletics Women's 400 meters,
"Elizabeth Joyce ""Joy"" Grieveson (-Watson)",F,22.0,167.0,62.0,Great Britain,1964,Athletics Women's 400 meters,
Agnes Geraldine Griffith,F,19.0,162.0,54.0,Grenada,1988,Athletics Women's 400 meters,
June Marcia Griffith (-Collison),F,27.0,183.0,52.0,Guyana,1984,Athletics Women's 400 meters,
Floria Guei,F,26.0,166.0,53.0,France,2016,Athletics Women's 400 meters,
Ana Gabriela Guevara Espinoza,F,23.0,173.0,61.0,Mexico,2000,Athletics Women's 400 meters,
Ana Gabriela Guevara Espinoza,F,27.0,173.0,61.0,Mexico,2004,Athletics Women's 400 meters,Silver
Yuliya Aleksandrovna Gushchina,F,25.0,174.0,61.0,Russia,2008,Athletics Women's 400 meters,
Yuliya Aleksandrovna Gushchina,F,29.0,174.0,61.0,Russia,2012,Athletics Women's 400 meters,
Eeva Inkeri Haimi (-Hongisto),F,22.0,168.0,61.0,Finland,1968,Athletics Women's 400 meters,
Loreen Doloris Hall,F,20.0,170.0,63.0,Great Britain,1988,Athletics Women's 400 meters,
"Kathleen ""Kathy"" Hammond (-Tyson)",F,20.0,170.0,55.0,United States,1972,Athletics Women's 400 meters,Bronze
Han Myeong-Hui,F,18.0,165.0,58.0,South Korea,1964,Athletics Women's 400 meters,
