Name,Sex,Age,Height,Weight,Team,Year,Medal,BMI
Carl Kaufmann,M,24.0,183.0,76.0,Germany,1960,Silver,22.694018931589476
Walter Keller,M,,,,Switzerland,1948,,
Simon Tirop Kemboi,M,25.0,178.0,74.0,Kenya,1992,,23.355636914530994
Sahr Kendor,M,17.0,172.0,52.0,Sierra Leone,1980,,17.577068685776094
Francis Kerbiriou,M,21.0,178.0,66.0,France,1972,,20.830703194041156
George Ezekiel Kerr,M,19.0,180.0,70.0,Jamaica,1956,,21.604938271604937
Reinhold Keskll,M,23.0,167.0,60.0,Estonia,1924,,21.513858510523864
Ahmed Abbas Khairy Sabri,M,,,,Egypt,1920,,
Ali Khamis Abbas Ali Khamis,M,21.0,182.0,70.0,Bahrain,2016,,21.132713440405748
Abdullah Khan,M,,,,Pakistan,1956,,
"Lawrence G. ""Laurie"" Khan",M,21.0,169.0,61.0,Jamaica,1964,,21.357795595392318
Panh Khemanith,M,27.0,171.0,60.0,Laos,1980,,20.519134092541293
Raymond Kibet,M,20.0,185.0,64.0,Kenya,2016,,18.699780861943022
Victor Kibet,M,24.0,173.0,68.0,Kenya,2004,,22.720438370810918
Gary Kikaya Senga,M,26.0,184.0,75.0,Congo (Kinshasa),2004,,22.152646502835537
Gary Kikaya Senga,M,30.0,184.0,75.0,Congo (Kinshasa),2008,,22.152646502835537
Manfred Kinder,M,22.0,184.0,73.0,Germany,1960,,21.561909262759926
Manfred Kinder,M,30.0,184.0,73.0,West Germany,1968,,21.561909262759926
Simeon Kipkemboi,M,28.0,190.0,74.0,Kenya,1988,,20.498614958448755
Wilson Arap Chuma Kiprugut,M,,178.0,71.0,Kenya,1964,,22.408786769347305
David Kipkorir Kirui,M,25.0,175.0,71.0,Kenya,2000,,23.183673469387756
Alphas Leken Kishoyian,M,21.0,167.0,59.0,Kenya,2016,,21.15529420201513
David Kitur,M,21.0,183.0,73.0,Kenya,1984,,21.798202394816208
David Kitur,M,29.0,183.0,73.0,Kenya,1992,,21.798202394816208
Samson Kitur,M,26.0,186.0,77.0,Kenya,1992,Bronze,22.256908313099782
Samson Kitur,M,30.0,186.0,77.0,Kenya,1996,,22.256908313099782
Marcel Klarenbeek,M,20.0,182.0,76.0,Netherlands,1980,,22.944088878154812
Piotr Arkadiusz Klimczak,M,24.0,182.0,72.0,Poland,2004,,21.73650525298877
Ireneusz Kluczek,M,24.0,177.0,68.0,Poland,1964,,21.705129432793896
Rudolf Klupsch,M,31.0,173.0,69.0,Germany,1936,,23.054562464499316
Karel Knnick,M,28.0,176.0,72.0,Czechoslovakia,1936,,23.24380165289256
Mykhailo Mykolaiovych Knysh,M,24.0,179.0,79.0,Ukraine,2008,,24.65590961580475
Karel Kol,M,24.0,182.0,73.0,Czechoslovakia,1980,,22.03840115928028
Alfred Knig,M,22.0,,,Austria,1936,,
Pl Koppn,M,21.0,,,Hungary,1900,,
Dmitry Alekseyevich Kosov,M,23.0,187.0,80.0,Unified Team,1992,,22.87740570219337
Stefan Kostrzewski,M,25.0,,,Poland,1928,,
Jerzy Wadysaw Kowalski,M,23.0,175.0,70.0,Poland,1960,,22.857142857142858
Tambusamy Krishnan,M,28.0,180.0,67.0,Malaysia,1972,,20.679012345679013
Sven Olof Krokstrm,M,24.0,,,Sweden,1920,,
Jean Krombach,M,26.0,,,Luxembourg,1936,,
Georges R. Krotoff,M,21.0,,,France,1928,,
Johnson Kubisa,M,28.0,173.0,73.0,Botswana,2000,,24.3910588392529
Hiroyoshi Kubota,M,23.0,168.0,53.0,Japan,1936,,18.778344671201815
Jrgen Khl,M,21.0,187.0,76.0,Germany,1956,,21.733535417083704
Markku Juhani Kukkoaho,M,25.0,189.0,82.0,Finland,1972,,22.955684331345708
Markku Juhani Kukkoaho,M,29.0,189.0,82.0,Finland,1976,,22.955684331345708
Kun Min-Mu,M,26.0,168.0,60.0,Chinese Taipei,1968,,21.258503401360546
Herman Kunnen,M,23.0,,,Belgium,1948,,
Jassim Karim Kuraishi,M,22.0,175.0,68.0,Iraq,1960,,22.20408163265306
Jassim Karim Kuraishi,M,26.0,175.0,68.0,Iraq,1964,,22.20408163265306
Lajos Kurunczy,M,27.0,,,Hungary,1924,,
Moses Kyeswa,M,26.0,178.0,68.0,Uganda,1984,,21.461936624163616
Marcus la Grange,M,26.0,186.0,84.0,South Africa,2004,,24.280263614290668
Sofine Labidi,M,20.0,186.0,69.0,Tunisia,2000,,19.944502254595907
Sofine Labidi,M,24.0,186.0,69.0,Tunisia,2004,,19.944502254595907
Vclav Labk-Gregan,M,18.0,,,Bohemia,1912,,
Mark Daniel Ladbrook,M,24.0,188.0,75.0,Australia,1996,,21.22000905387053
Du'aine Ladejo (Thorne-),M,25.0,187.0,84.0,Great Britain,1996,,24.02127598730304
Peter Laeng,M,22.0,180.0,75.0,Switzerland,1964,,23.14814814814815
Sven Lftman,M,20.0,183.0,80.0,Sweden,1908,,23.8884409806205
Marcel Lambrechts,M,29.0,178.0,75.0,Belgium,1960,,23.671253629592222
Karl Lampelmayer,M,,,,Austria,1906,,
Charles James Lane,M,19.0,,,Australia,1924,,
"Eugnius Joannes ""mile"" Langenraedt",M,20.0,,,Belgium,1928,,
Mario Lanzi,M,21.0,180.0,76.0,Italy,1936,,23.45679012345679
Ricardo Larios,M,23.0,169.0,54.0,Nicaragua,1976,,18.90690101887189
"Michael Denny ""Mike"" Larrabee",M,30.0,186.0,77.0,United States,1964,Gold,22.256908313099782
Carl Rune Larsson,M,24.0,178.0,70.0,Sweden,1948,,22.093170054286077
Gumundur Lrusson,M,26.0,182.0,72.0,Iceland,1952,,21.73650525298877
Sean Thomas Lavan,M,25.0,182.0,,Ireland,1924,,
Sean Thomas Lavan,M,29.0,182.0,,Ireland,1928,,
James Arthur Lavery,M,23.0,,,Canada,1952,,
"James Gilbert ""Jim"" Lea, Jr.",M,24.0,183.0,68.0,United States,1956,,20.305174833527428
Harry Glover Lee,M,23.0,,,United States,1900,,
Beyene Legesse,M,,,,Ethiopia,1956,,
Leberecht Julius Erich Ernst Lehmann,M,21.0,170.0,62.0,Germany,1912,,21.453287197231834
Roger Leigh-Wood (Wood-),M,21.0,,,Great Britain,1928,,
Jnis Leitis,M,23.0,190.0,75.0,Latvia,2012,,20.775623268698062
Charles Louis Lelong,M,21.0,,,France,1912,,
Cephas Lemba,M,22.0,190.0,77.0,Zambia,1992,,21.329639889196677
Deon Christopher Lendore,M,19.0,179.0,75.0,Trinidad and Tobago,2012,,23.40750912892856
Deon Christopher Lendore,M,23.0,179.0,75.0,Trinidad and Tobago,2016,,23.40750912892856
Yoandys Alberto Lescay Prado,M,22.0,181.0,77.0,Cuba,2016,,23.503556057507403
Nigel Levine,M,23.0,176.0,72.0,Great Britain,2012,,23.24380165289256
"Leslie Charles ""Les"" Lewis",M,23.0,174.0,67.0,Great Britain,1948,,22.12973972783723
"Leslie Charles ""Les"" Lewis",M,27.0,174.0,67.0,Great Britain,1952,,22.12973972783723
"Raymond Gray ""Ray"" Lewis",M,21.0,186.0,74.0,Canada,1932,,21.389756041160826
"Steven Earl ""Steve"" Lewis",M,19.0,188.0,84.0,United States,1988,Gold,23.766410140334994
"Steven Earl ""Steve"" Lewis",M,23.0,188.0,84.0,United States,1992,Silver,23.766410140334994
Li Po-Ting,M,23.0,179.0,67.0,Chinese Taipei,1960,,20.91070815517618
Claudio Licciardello,M,22.0,186.0,73.0,Italy,2008,,21.100705283847844
Eric Henry Liddell,M,22.0,173.0,68.0,Great Britain,1924,Gold,22.720438370810918
Rico Lieder,M,20.0,186.0,67.0,Germany,1992,,19.36640073996994
"James Davies ""Jim"" Lightbody",M,24.0,173.0,61.0,United States,1906,,20.38156971499215
Marshall Nielsen Limon,M,20.0,184.0,75.0,Canada,1936,,22.152646502835537
Lin Kuang-Liang,M,19.0,175.0,65.0,Chinese Taipei,1988,,21.224489795918366
"Edward Ferdinand Jacob ""Ed"" Lindberg",M,25.0,177.0,76.0,United States,1912,Bronze,24.25867407194612
Eric Lindholm,M,21.0,188.0,78.0,Sweden,1912,,22.06880941602535
Robert Alexander Lindsay,M,30.0,,,Great Britain,1920,,
Davison Lishebo,M,29.0,184.0,73.0,Zambia,1984,,21.561909262759926
Yury Nikolayevich Lituyev,M,27.0,183.0,78.0,Soviet Union,1952,,23.29122995610499
Liu Xiaosheng,M,20.0,190.0,77.0,China,2008,,21.329639889196677
Hector Llatser,M,26.0,190.0,80.0,France,1984,,22.1606648199446
Chris Joey Lloyd,M,23.0,173.0,68.0,Dominica,2004,,22.720438370810918
Jos Gerardo L'Oficial Olivero,M,20.0,180.0,77.0,Dominican Republic,1968,,23.765432098765434
"John Wilfrid ""Johnny"" Loaring",M,20.0,178.0,74.0,Canada,1936,,23.355636914530994
Leonardo Loforte,M,27.0,174.0,64.0,Mozambique,1984,,21.13885585942661
Filipe Graca Lomb,M,28.0,186.0,86.0,Portugal,1988,,24.85836512891664
Vincenzo Lombardo,M,20.0,180.0,78.0,Italy,1952,,24.074074074074073
"Maxwell Warburn ""Maxey"" Long",M,21.0,182.0,75.0,United States,1900,Gold,22.642192971863302
Alberto Lpez Davila,M,21.0,175.0,68.0,Guatemala,1984,,22.20408163265306
Ren Lpez Escobar,M,21.0,190.0,76.0,El Salvador,1984,,21.05263157894737
Yeimer Lpez Garca,M,21.0,185.0,78.0,Cuba,2004,,22.790357925493062
Harvey Hurd Lord,M,21.0,,,United States,1900,,
Malik Khaled Ahmed Louahla,M,22.0,176.0,75.0,Algeria,2000,,24.212293388429753
Richard Louis,M,20.0,181.0,70.0,Barbados,1984,,21.36686914318855
Richard Louis,M,24.0,181.0,70.0,Barbados,1988,,21.36686914318855
Albert Otto Rudolf Lowagie,M,22.0,,,Belgium,1952,,
"Jonnie Eduardo ""Jonni"" Lowe Henrquez",M,24.0,172.0,70.0,Honduras,2004,,23.66143861546782
Stephen Lado Lugor,M,,192.0,82.0,Sudan,1992,,22.24392361111111
Luis Ral Luna Lemus,M,20.0,195.0,89.0,Venezuela,2004,,23.405654174884944
Louis Frederik Valdemar Lundgren,M,27.0,,,Denmark,1928,,
Kurt Anders Valdemar Lundquist,M,22.0,190.0,75.0,Sweden,1948,,20.775623268698062
Emilio Lunghi,M,25.0,179.0,70.0,Italy,1912,,21.847008520333322
J. Jacques Lunis,M,25.0,181.0,72.0,France,1948,,21.97735111870822
Charles Lupiya,M,27.0,172.0,76.0,Zambia,1980,,25.689561925365062
"James Ellis ""Jimmy"" LuValle",M,23.0,185.0,73.0,United States,1936,Bronze,21.32943754565376
"Frederick William ""Fred"" Macbeth, Jr.",M,18.0,,,Canada,1928,,
Ismail Maev,M,28.0,167.0,61.0,Yugoslavia,1988,,21.872422819032593
Gerard Zygfryd Mach,M,25.0,175.0,71.0,Poland,1952,,23.183673469387756
Ross MacKenzie,M,22.0,183.0,72.0,Canada,1968,,21.499596882558453
Robert Makowiak,M,30.0,180.0,78.0,Poland,2000,,24.074074074074073
Brian MacLaren,M,28.0,180.0,75.0,Canada,1972,,23.14814814814815
Christopher Madzokere,M,30.0,177.0,72.0,Zimbabwe,1984,,22.981901752370007
Ennio Maffiolini,M,,,,Italy,1924,,
Ramon Magarios Duro,M,20.0,182.0,75.0,Spain,1968,,22.642192971863302
Lszl Magdics (Mtrai-),M,25.0,,,Hungary,1928,,
Bachir Mahamat,M,19.0,186.0,59.0,Chad,2016,,17.053994681466065
Nicodemus Maipampe,M,30.0,168.0,63.0,Zambia,1972,,22.321428571428573
Mamman Makama,M,21.0,174.0,72.0,Nigeria,1968,,23.781212841854934
Mdard Makanga,M,25.0,180.0,75.0,Congo (Brazzaville),1992,,23.14814814814815
Isaac Makwala,M,25.0,185.0,78.0,Botswana,2012,,22.790357925493062
Isaac Makwala,M,29.0,185.0,78.0,Botswana,2016,,22.790357925493062
Vctor Maldonado Flores,M,25.0,183.0,63.0,Venezuela,1964,,18.812147272238647
"Georges Dsir ""Go"" Malfait",M,27.0,169.0,60.0,France,1906,,21.007667798746542
"Georges Dsir ""Go"" Malfait",M,29.0,169.0,60.0,France,1908,,21.007667798746542
"Georges Dsir ""Go"" Malfait",M,33.0,169.0,60.0,France,1912,,21.007667798746542
Arnaud Malherbe,M,23.0,187.0,73.0,South Africa,1996,,20.87563270325145
Arnaud Malherbe,M,27.0,187.0,73.0,South Africa,2000,,20.87563270325145
Stefano Malinverni,M,21.0,180.0,73.0,Italy,1980,,22.530864197530864
Einar Mangset,M,26.0,,,Norway,1920,,
Flix Ivn Mangual Guilbe,M,24.0,177.0,66.0,Puerto Rico,1976,,21.06674327300584
Horst Mann,M,29.0,178.0,67.0,Germany,1956,,21.146319909102385
Khristos Mantikas,M,,183.0,73.0,Greece,1932,,21.798202394816208
Marcin Waldemar Marciniszyn,M,29.0,185.0,77.0,Poland,2012,,22.4981738495252
Evans Marie,M,21.0,176.0,73.0,Seychelles,2004,,23.56663223140496
Lamine Marikong,M,22.0,,,Gambia,1992,,
Viktor Fyodorovich Markin,M,23.0,183.0,73.0,Soviet Union,1980,Gold,21.798202394816208
Roxbert Martin,M,26.0,178.0,66.0,Jamaica,1996,,20.830703194041156
Jean-Paul Marc Pierre Martin du Gard,M,29.0,182.0,75.0,France,1956,,22.642192971863302
Carlos Felipe Martnez Diosa,M,23.0,176.0,70.0,Cuba,1968,,22.598140495867767
Flix Adolfo Martnez Cuevas,M,23.0,183.0,75.0,Puerto Rico,2008,,22.39541341933172
Jos N. Martnez Garza,M,,,,Mexico,1924,,
Gakologelwang Lesiba Masheto,M,23.0,178.0,60.0,Botswana,2008,,18.93700290367378
Pavel Maslk,M,21.0,176.0,66.0,Czech Republic,2012,,21.306818181818183
Pavel Maslk,M,25.0,176.0,66.0,Czech Republic,2016,,21.306818181818183
Yousef Ahmed Al-Masrahi,M,24.0,176.0,76.0,Saudi Arabia,2012,,24.535123966942148
"James ""Jimmy"" Massallay",M,27.0,175.0,60.0,Sierra Leone,1980,,19.591836734693878
Iwao Masuda,M,17.0,,,Japan,1932,,
Michael Walter Mathieu,M,24.0,178.0,76.0,Bahamas,2008,,23.986870344653454
Junkichi Matoba,M,21.0,168.0,65.0,Japan,1952,,23.030045351473923
Ollie Genoa Matson,M,22.0,188.0,89.0,United States,1952,Bronze,25.18107741059303
"Vincent Edward ""Vince"" Matthews",M,24.0,187.0,81.0,United States,1972,Gold,23.16337327347079
Sunday Maweni,M,29.0,190.0,85.0,Botswana,1988,,23.545706371191137
"Ernest John ""Ernie"" McCullough, Jr.",M,22.0,,,Canada,1948,,
Michael L. McDonald,M,21.0,183.0,85.0,Jamaica,1996,,25.381468541909285
Rusheen McDonald,M,19.0,175.0,81.0,Jamaica,2012,,26.448979591836736
Rusheen McDonald,M,23.0,175.0,81.0,Jamaica,2016,,26.448979591836736
"Robert Malcolm ""Bob"" McFarlane",M,21.0,178.0,75.0,Canada,1948,,23.671253629592222
Danny D. McFarlane,M,28.0,183.0,75.0,Jamaica,2000,,22.39541341933172
"Donald Cecil ""Don"" McFarlane",M,22.0,,,Canada,1948,,
Troy McIntosh,M,23.0,178.0,73.0,Bahamas,1996,,23.040020199469765
Troy McIntosh,M,27.0,178.0,73.0,Bahamas,2000,,23.040020199469765
Antonio Ricardo McKay,M,20.0,183.0,77.0,United States,1984,Bronze,22.992624443847234
"Herbert Henry ""Herb"" McKenley",M,26.0,185.0,72.0,Jamaica,1948,Silver,21.0372534696859
"Herbert Henry ""Herb"" McKenley",M,30.0,185.0,72.0,Jamaica,1952,Silver,21.0372534696859
Michael Adrian McLean,M,22.0,185.0,77.0,Canada,1992,,22.4981738495252
Tony McQuay,M,22.0,181.0,72.0,United States,2012,,21.97735111870822
Fanahan McSweeney,M,25.0,183.0,76.0,Ireland,1972,,22.694018931589476
Didier Meja Esquivel,M,23.0,172.0,65.0,Mexico,1964,,21.97133585722012
Francisco Mauricio Menocal,M,22.0,175.0,70.0,Nicaragua,1968,,22.857142857142858
Francisco Mauricio Menocal,M,26.0,175.0,70.0,Nicaragua,1972,,22.857142857142858
Menso Johannes Menso,M,21.0,,,Netherlands,1924,,
"James Edwin ""Ted"" Meredith",M,20.0,175.0,71.0,United States,1912,,23.183673469387756
"James Edwin ""Ted"" Meredith",M,28.0,175.0,71.0,United States,1920,,23.183673469387756
Ned Alvin Merriam,M,23.0,178.0,61.0,United States,1908,,19.252619618735007
LaShawn Merritt,M,22.0,191.0,86.0,United States,2008,Gold,23.573915188728378
LaShawn Merritt,M,26.0,191.0,86.0,United States,2012,,23.573915188728378
LaShawn Merritt,M,30.0,191.0,86.0,United States,2016,Bronze,23.573915188728378
Nafi Ahmed Hamed Mersal,M,24.0,180.0,86.0,Egypt,1984,,26.54320987654321
Adrian Peter Metcalfe,M,22.0,188.0,87.0,Great Britain,1964,,24.615210502489813
Karl-Adolf Metzner,M,22.0,180.0,80.0,Germany,1932,,24.691358024691358
Karl-Adolf Metzner,M,26.0,180.0,80.0,Germany,1936,,24.691358024691358
Jules Felix Migeot,M,21.0,,,Belgium,1920,,
Jules Felix Migeot,M,25.0,,,Belgium,1924,,
Jean ric Milazar,M,25.0,190.0,80.0,Mauritius,2000,,22.1606648199446
Jean ric Milazar,M,29.0,190.0,80.0,Mauritius,2004,,22.1606648199446
Jean ric Milazar,M,33.0,190.0,80.0,Mauritius,2008,,22.1606648199446
Joel Milburn,M,22.0,182.0,75.0,Australia,2008,,22.642192971863302
"Sven Osvald ""Ossi"" Mildh",M,22.0,180.0,82.5,Finland,1952,,25.462962962962962
Leslie Osborne Miller,M,20.0,191.0,77.0,Bahamas,1968,,21.106877552698666
Ramon Salomon Miller,M,25.0,180.0,67.0,Bahamas,2012,,20.679012345679013
Mohamed Hossain Milzer,M,21.0,174.0,65.0,Bangladesh,1988,,21.469150482230148
Gary John Minihan,M,22.0,175.0,70.0,Australia,1984,,22.857142857142858
Joaqun Miquel Casas,M,,,,Spain,1928,,
S. Christophe Mirgain,M,21.0,,,Luxembourg,1924,,
Yahiko Mishima,M,26.0,,,Japan,1912,,
Oleg Olegovich Mishukov,M,23.0,183.0,71.0,Russia,2004,,21.200991370300695
"Richard Charles ""Rick"" Mitchell",M,21.0,183.0,71.0,Australia,1976,,21.200991370300695
"Richard Charles ""Rick"" Mitchell",M,25.0,183.0,71.0,Australia,1980,Silver,21.200991370300695
Ato Modibo-Stephens,M,21.0,188.0,78.0,Trinidad and Tobago,2000,,22.06880941602535
Ato Modibo-Stephens,M,25.0,188.0,78.0,Trinidad and Tobago,2004,,22.06880941602535
Ato Modibo-Stephens,M,29.0,188.0,78.0,Trinidad and Tobago,2008,,22.06880941602535
Roger Moens,M,22.0,175.0,70.0,Belgium,1952,,22.857142857142858
Abdulla Mohamed Hussein,M,16.0,170.0,54.0,Somalia,2004,,18.685121107266436
Henry Mahlomola Mohoanyane,M,28.0,175.0,67.0,Lesotho,1992,,21.877551020408163
Hendrik Mokganyetsi,M,20.0,182.0,70.0,South Africa,1996,,21.132713440405748
Hendrik Mokganyetsi,M,25.0,182.0,70.0,South Africa,2000,,21.132713440405748
California Molefe,M,24.0,172.0,62.0,Botswana,2004,,20.9572742022715
Sven Gsta Mller,M,24.0,,,Sweden,1912,,
Tams Molnr,M,24.0,183.0,75.0,Hungary,1992,,22.39541341933172
William Arthur Moloney,M,23.0,,,United States,1900,,
"Percival Talbot ""Percy"" Molson",M,23.0,184.0,,Canada,1904,,
Mama Moluh,M,26.0,,,Cameroon,1984,,
Avard Moncur,M,21.0,193.0,87.0,Bahamas,2000,,23.35633171360305
Carlos Monges Caldera,M,22.0,180.0,66.0,Mexico,1948,,20.37037037037037
Edwin Herbert Montague,M,23.0,,,Great Britain,1908,,
Jude Monye,M,22.0,188.0,79.0,Nigeria,1996,,22.351742870076958
Jude Monye,M,26.0,188.0,79.0,Nigeria,2000,,22.351742870076958
Jess Moraila Morales,M,,175.0,,Mexico,1928,,
Mpho Jonas Morobe,M,29.0,172.0,60.0,Lesotho,1996,,20.281233098972418
Franois Morren,M,21.0,,,Belgium,1920,,
Devon Morris,M,23.0,180.0,75.0,Jamaica,1984,,23.14814814814815
Devon Morris,M,27.0,180.0,75.0,Jamaica,1988,,23.14814814814815
Devon Morris,M,31.0,180.0,75.0,Jamaica,1992,,23.14814814814815
Ian Morris,M,26.0,175.0,65.0,Trinidad and Tobago,1988,,21.224489795918366
Ian Morris,M,30.0,175.0,65.0,Trinidad and Tobago,1992,,21.224489795918366
Charles Moses,M,30.0,189.0,72.0,Ghana,1984,,20.15621063240111
Geiner Alonso Mosquera Becerra,M,24.0,187.0,75.0,Colombia,2008,,21.447567845806287
Jonas Matas Motiejnas,M,25.0,188.0,77.0,Lithuania,2000,,21.785875961973744
Wendell Adrian Mottley,M,23.0,173.0,72.0,Trinidad and Tobago,1964,Silver,24.056934745564504
Fay R. Moulton,M,30.0,175.0,70.0,United States,1906,,22.857142857142858
William Msiska,M,24.0,174.0,69.0,Malawi,1972,,22.79032897344431
Phillip Mukomana,M,26.0,188.0,80.0,Zimbabwe,2000,,22.634676324128566
Helmar Mller,M,29.0,180.0,74.0,West Germany,1968,,22.839506172839506
Wolfgang Mller,M,25.0,180.0,69.0,East Germany,1968,,21.296296296296298
Vincent Mumo Kiilu,M,22.0,163.0,56.0,Kenya,2004,,21.077195227520797
Vincent Mumo Kiilu,M,26.0,163.0,56.0,Kenya,2008,,21.077195227520797
Ral Muoz,M,20.0,,,Chile,1936,,
Miles Murphy,M,21.0,185.0,75.0,Australia,1988,,21.91380569758948
Enock Musonda,M,22.0,164.0,55.0,Zambia,1988,,20.44913741820345
Agripa Mwausegha,M,28.0,174.0,66.0,Malawi,1984,,21.79944510503369
Jzsef Nagy,M,26.0,,,Hungary,1908,,
Jean-Claude Nallet,M,21.0,187.0,85.0,France,1968,,24.307243558580456
Hussain Ali Nasayyif,M,,170.0,72.0,Iraq,1980,,24.913494809688583
Walter Nehb,M,23.0,173.0,,Germany,1932,,
Bryshon Lorenzo Nellum,M,23.0,183.0,80.0,United States,2012,,23.8884409806205
Francisc Neme,M,29.0,,,Romania,1936,,
Otto Neumann,M,25.0,178.0,71.0,Germany,1928,,22.408786769347305
David Neville,M,24.0,193.0,77.0,United States,2008,Bronze,20.671695884453275
"Frederick Vaughn ""Fred"" Newhouse",M,27.0,175.0,68.0,United States,1976,Silver,22.20408163265306
Eulogio Ngache Luembe,M,20.0,,,Equatorial Guinea,1992,,
George Nicol,M,21.0,,,Great Britain,1908,,
George Nicol,M,25.0,,,Great Britain,1912,,
Christian Nicolau,M,21.0,174.0,65.0,France,1968,,21.469150482230148
Sunder Lamont Nix,M,22.0,175.0,65.0,United States,1984,,21.224489795918366
Elijah Nkala,M,24.0,165.0,69.0,Zimbabwe,1988,,25.34435261707989
Thophile Clorico Nkounkou,M,20.0,176.0,74.0,Congo (Brazzaville),1972,,23.889462809917354
Thomas N'Ma,M,28.0,175.0,64.0,Liberia,1972,,20.897959183673468
Avognan Nogboun,M,,183.0,73.0,Cote d'Ivoire,1976,,21.798202394816208
Roy Douglas Norman,M,27.0,,,Australia,1924,,
Carlos Noroa Gutirrez,M,19.0,172.0,70.0,Cuba,1976,,23.66143861546782
Tokushige Noto,M,22.0,,,Japan,1924,,
Camera Ntereke,M,28.0,183.0,72.0,Botswana,1992,,21.499596882558453
Georg Nckles,M,24.0,181.0,71.0,West Germany,1972,,21.672110130948383
Andrea Nuti,M,25.0,185.0,75.0,Italy,1992,,21.91380569758948
Hezekiah Munyoro Nyamau,M,25.0,170.0,68.0,Kenya,1968,,23.529411764705884
Hezekiah Munyoro Nyamau,M,29.0,170.0,68.0,Kenya,1972,,23.529411764705884
Elkana Nyangau,M,,169.0,62.0,Kenya,1988,,21.707923392038094
Young Talkmore Nyongani,M,20.0,178.0,75.0,Zimbabwe,2004,,23.671253629592222
Young Talkmore Nyongani,M,24.0,178.0,75.0,Zimbabwe,2008,,23.671253629592222
Kennedy Ochieng,M,24.0,183.0,73.0,Kenya,1996,,21.798202394816208
Kennedy Ochieng,M,28.0,183.0,73.0,Kenya,2000,,21.798202394816208
Francis Ogola,M,19.0,183.0,74.0,Uganda,1992,,22.096807907073966
Francis Ogola,M,23.0,183.0,74.0,Uganda,1996,,22.096807907073966
Pushpa Raj Ojha,M,24.0,177.0,58.0,Nepal,1984,,18.51319863385362
Robert Ojo,M,31.0,180.0,70.0,Nigeria,1972,,21.604938271604937
Ibrahim Okash Omar,M,19.0,180.0,65.0,Somalia,1984,,20.061728395061728
Seikan Oki,M,25.0,,,Japan,1932,,
"Michael ""Mike"" Okot",M,25.0,173.0,60.0,Uganda,1984,,20.04744562130375
Clarence Winston Oldfield,M,20.0,178.0,59.0,South Africa,1920,,18.62138618861255
Clarence Winston Oldfield,M,24.0,178.0,59.0,South Africa,1924,,18.62138618861255
"Carl Oliver, Jr.",M,27.0,178.0,80.0,Bahamas,1996,,25.24933720489837
Stefan Odak,M,19.0,175.0,64.0,Poland,1924,,20.897959183673468
Rafa Omelko,M,27.0,195.0,75.0,Poland,2016,,19.723865877712033
Amos Omolo,M,27.0,178.0,74.0,Uganda,1964,,23.355636914530994
Amos Omolo,M,31.0,178.0,74.0,Uganda,1968,,23.355636914530994
Shigekazu Omori,M,24.0,180.0,62.0,Japan,1996,,19.135802469135804
Kyriakos Onisiforou,M,21.0,178.0,69.0,Greece,1972,,21.777553339224845
Jun Osakada,M,26.0,177.0,67.0,Japan,2000,,21.38593635289987
Jun Osakada,M,30.0,177.0,67.0,Japan,2004,,21.38593635289987
Sergio Eliseo Ottolina,M,25.0,174.0,68.0,Italy,1968,,22.460034350640772
Youba Mohamed Ould H'Mede,M,28.0,179.0,67.0,Mauritania,2004,,20.91070815517618
Djibo Idrissa Ousseini,M,17.0,178.0,72.0,Niger,2016,,22.724403484408533
Fahir zgden,M,,179.0,71.0,Turkey,1960,,22.15910864205237
Diego Armando Palomeque Echevarra,M,22.0,176.0,67.0,Colombia,2016,,21.62964876033058
"Maxwell Lander ""Maxie"" Parks",M,25.0,188.0,78.0,United States,1976,,22.06880941602535
Sanderlei Claro Parrela,M,19.0,194.0,77.0,Brazil,1996,,20.45913487086832
Sanderlei Claro Parrela,M,23.0,194.0,77.0,Brazil,2000,,20.45913487086832
Eli Burton Parsons,M,21.0,170.0,59.0,United States,1906,,20.41522491349481
George Herbert Patching,M,25.0,184.0,77.0,South Africa,1912,,22.743383742911153
Alan Patterson,M,22.0,,,Great Britain,1908,,
Alan Patterson,M,26.0,,,Great Britain,1912,,
"Michael ""Mike"" Paul",M,27.0,185.0,77.0,Trinidad and Tobago,1984,,22.4981738495252
"Adriaan ""Adje"" Paulen",M,21.0,184.0,78.0,Netherlands,1924,,23.03875236294896
"Adriaan ""Adje"" Paulen",M,25.0,184.0,78.0,Netherlands,1928,,23.03875236294896
"Peder Alexander ""Alex"" Pedersen",M,21.0,182.0,70.0,Norway,1912,,21.132713440405748
Ole Jacob Pedersen,M,23.0,183.0,70.0,Norway,1912,,20.90238585804294
Geraldo Jos Pegado,M,25.0,185.0,73.0,Brazil,1980,,21.32943754565376
Arismendy Peguero Thicket,M,28.0,183.0,79.0,Dominican Republic,2008,,23.589835468362747
Claro Alpe Pellosis,M,25.0,162.0,54.0,Philippines,1960,,20.5761316872428
David P. Peltier,M,20.0,180.0,70.0,Barbados,1984,,21.604938271604937
Roberto Penna,M,22.0,,,Italy,1908,,
Jacques Pennewaert,M,24.0,184.0,76.0,Belgium,1964,,22.448015122873347
Jacques Pennewaert,M,28.0,184.0,76.0,Belgium,1968,,22.448015122873347
Kenneth Perera,M,22.0,,,Malaya,1956,,
"Jakob ""Jacques"" Person",M,23.0,182.0,81.0,Germany,1912,,24.453568409612366
Hans Frederik Aage Petersen,M,22.0,,,Denmark,1906,,
