Name,Sex,Age,Height,Weight,Team,Year,Medal,BMI
Jacques Borle,M,22.0,180.0,72.0,Belgium,1980,,22.22222222222222
Jonathan Borle,M,20.0,180.0,69.0,Belgium,2008,,21.296296296296298
Jonathan Borle,M,24.0,180.0,69.0,Belgium,2012,,21.296296296296298
Jonathan Borle,M,28.0,180.0,69.0,Belgium,2016,,21.296296296296298
Kvin Borle,M,20.0,180.0,67.0,Belgium,2008,,20.679012345679013
Kvin Borle,M,24.0,180.0,67.0,Belgium,2012,,20.679012345679013
Kvin Borle,M,28.0,180.0,67.0,Belgium,2016,,20.679012345679013
Slobodan Brankovi,M,20.0,190.0,82.0,Yugoslavia,1988,,22.714681440443215
Slobodan Brankovi,M,24.0,190.0,82.0,Individual Olympic Athletes,1992,,22.714681440443215
Gsta Martin Brnnstrm,M,25.0,,,Sweden,1952,,
"Johannes ""Hanns"" Braun",M,25.0,180.0,68.0,Germany,1912,Silver,20.987654320987655
Albert Idel Bravo Morales,M,24.0,199.0,88.0,Venezuela,2012,,22.22166106916492
Albert Idel Bravo Morales,M,28.0,199.0,88.0,Venezuela,2016,,22.22166106916492
Nery Antonio Brenes Crdenas,M,22.0,175.0,70.0,Costa Rica,2008,,22.857142857142858
Nery Antonio Brenes Crdenas,M,26.0,175.0,70.0,Costa Rica,2012,,22.857142857142858
Nery Antonio Brenes Crdenas,M,30.0,175.0,70.0,Costa Rica,2016,,22.857142857142858
Derrick Keith Brew,M,26.0,185.0,81.0,United States,2004,Bronze,23.66691015339664
"Frederick William ""Federico"" Brewster",M,18.0,175.0,64.0,Argentina,1924,,20.897959183673468
Robbie Ian Brightwell,M,20.0,188.0,81.0,Great Britain,1960,,22.91760977818017
Robbie Ian Brightwell,M,24.0,188.0,81.0,Great Britain,1964,,22.91760977818017
"Alfons ""Fons"" Brijdenbach",M,21.0,185.0,77.0,Belgium,1976,,22.4981738495252
"Alfons ""Fons"" Brijdenbach",M,25.0,185.0,77.0,Belgium,1980,,22.4981738495252
"George Melbourne ""Mel"" Brock",M,24.0,181.0,78.0,Canada,1912,,23.808797045267237
"Henricus Adrianus ""Harry"" Broos",M,29.0,,,Netherlands,1928,,
"Christopher Deon ""Chris"" Brown",M,21.0,178.0,75.0,Bahamas,2000,,23.671253629592222
"Christopher Deon ""Chris"" Brown",M,25.0,178.0,75.0,Bahamas,2004,,23.671253629592222
"Christopher Deon ""Chris"" Brown",M,29.0,178.0,75.0,Bahamas,2008,,23.671253629592222
"Christopher Deon ""Chris"" Brown",M,33.0,178.0,75.0,Bahamas,2012,,23.671253629592222
"Christopher Deon ""Chris"" Brown",M,37.0,178.0,75.0,Bahamas,2016,,23.671253629592222
Arthur Godfrey Kilner Brown,M,21.0,183.0,70.0,Great Britain,1936,Silver,20.90238585804294
"Philip Andrew ""Phil"" Brown",M,22.0,180.0,73.0,Great Britain,1984,,22.530864197530864
Alfred Browne,M,25.0,179.0,72.0,Antigua and Barbuda,1984,,22.47120876377142
Alfred Browne,M,29.0,179.0,72.0,Antigua and Barbuda,1988,,22.47120876377142
Yngvar Bryn,M,18.0,,,Norway,1900,,
Ivano Bucci,M,21.0,180.0,80.0,San Marino,2008,,24.691358024691358
"Joachim ""Jochen"" Bchner",M,23.0,176.0,74.0,Germany,1928,Bronze,23.889462809917354
"Joachim ""Jochen"" Bchner",M,27.0,176.0,74.0,Germany,1932,,23.889462809917354
"Donald Smith ""Don"" Buddo",M,21.0,,,Canada,1908,,
"Samuel Zanya ""Sam"" Bugri",M,25.0,182.0,70.0,Ghana,1968,,21.132713440405748
"Samuel Zanya ""Sam"" Bugri",M,29.0,182.0,70.0,Ghana,1972,,21.132713440405748
Hugh Bullard,M,18.0,170.0,64.0,Bahamas,1960,,22.14532871972318
Manut Bumrungphuk,M,24.0,164.0,63.0,Thailand,1960,,23.423557406305772
Viktor Volodymyrovych Burakov,M,25.0,182.0,73.0,Soviet Union,1980,,22.03840115928028
"Thomas Edmund ""Tom"" Burke",M,21.0,183.0,66.0,United States,1896,Gold,19.707963809011915
Hermann Heinrich Burkowitz,M,20.0,175.0,64.0,Germany,1912,,20.897959183673468
Ezra Ellsworth Burnham,M,21.0,173.0,64.0,Barbados,1968,,21.383941996057334
Faustin Butra,M,28.0,,,Rwanda,1984,,
Guy Montagu Butler,M,20.0,,,Great Britain,1920,Silver,
Guy Montagu Butler,M,24.0,,,Great Britain,1924,Bronze,
Vitaliy Mykolaiovych Butrym,M,21.0,180.0,75.0,Ukraine,2012,,23.14814814814815
Vitaliy Mykolaiovych Butrym,M,25.0,180.0,75.0,Ukraine,2016,,23.14814814814815
Viktor Bychkov,M,26.0,186.0,78.0,Soviet Union,1964,,22.545959070412763
Bror Erik Bylhn,M,26.0,172.0,61.0,Sweden,1924,,20.619253650621957
Daniel Stephen Caines,M,21.0,178.0,73.0,Great Britain,2000,,23.040020199469765
Daniel Stephen Caines,M,25.0,178.0,73.0,Great Britain,2004,,23.040020199469765
"Bertland ""Bert"" Cameron",M,20.0,188.0,79.0,Jamaica,1980,,22.351742870076958
"Bertland ""Bert"" Cameron",M,24.0,188.0,79.0,Jamaica,1984,,22.351742870076958
"Bertland ""Bert"" Cameron",M,28.0,188.0,79.0,Jamaica,1988,,22.351742870076958
Colin William Ashburner Campbell,M,22.0,185.0,76.0,Great Britain,1968,,22.20598977355734
Yves Roger Maurice Camus,M,22.0,,,France,1952,,
David Canal Valero,M,21.0,182.0,75.0,Spain,2000,,22.642192971863302
David Canal Valero,M,25.0,182.0,75.0,Spain,2004,,22.642192971863302
Aldo Canti,M,23.0,185.0,80.0,France,1984,,23.37472607742878
Joo Francisco Capindica,M,21.0,178.0,72.0,Angola,1992,,22.724403484408533
Alejandro Manuel Crdeas Robles,M,21.0,186.0,73.0,Mexico,1996,,21.100705283847844
Alejandro Manuel Crdeas Robles,M,25.0,186.0,73.0,Mexico,2000,,21.100705283847844
Alejandro Manuel Crdeas Robles,M,29.0,186.0,73.0,Mexico,2004,,21.100705283847844
Jens Carlowitz,M,24.0,186.0,76.0,East Germany,1988,,21.967857555786797
John Conduit Carpenter,M,23.0,184.0,70.0,United States,1908,,20.6758034026465
"William Arthur ""Bill"" Carr",M,22.0,172.0,66.0,United States,1932,Gold,22.30935640886966
"Edwin William J. Carr, Jr.",M,23.0,,,Australia,1952,,
"John Fralic ""Jack"" Carroll",M,21.0,,,Canada,1952,,
Noel J. Carroll,M,26.0,188.0,79.0,Ireland,1968,,22.351742870076958
Massimo Cartasegna,M,22.0,,,Italy,1908,,
Jos de Jess Carvalho,M,23.0,187.0,81.0,Portugal,1976,,23.16337327347079
Emilio Eduardo Casanovas,M,,,,Argentina,1924,,
Fernando Gomes Casimiro,M,21.0,,,Portugal,1952,,
Ollan Conley Cassell,M,27.0,185.0,75.0,United States,1964,,21.91380569758948
Machel Cedenio,M,20.0,183.0,70.0,Trinidad and Tobago,2016,,20.90238585804294
Ricardo Chambers,M,23.0,177.0,73.0,Jamaica,2008,,23.301094832264038
Christopher Maude Chavasse,M,23.0,,,Great Britain,1908,,
Noel Godfrey Chavasse,M,23.0,,,Great Britain,1908,,
Chen Yinglang,M,,,,China,1948,,
Nikolay Nikolayevich Chernetsky,M,20.0,186.0,74.0,Soviet Union,1980,,21.389756041160826
James Nyang Chiengjiek,M,24.0,179.0,59.0,Refugee Olympic Athletes,2016,,18.413907181423802
Jonathan Chipalo,M,26.0,174.0,58.0,Zambia,1988,,19.157088122605366
Tawanda Blessings Chiwira,M,21.0,178.0,68.0,Zimbabwe,1996,,21.461936624163616
Tawanda Blessings Chiwira,M,26.0,178.0,68.0,Zimbabwe,2000,,21.461936624163616
Seiken Cho,M,22.0,,,Japan,1932,,
Gunnar Normandus Fjord Christensen,M,23.0,,,Denmark,1936,,
Alan Thomas Christie,M,18.0,,,Canada,1924,,
Tyler Christopher,M,24.0,188.0,84.0,Canada,2008,,23.766410140334994
Clement Chukwu,M,23.0,190.0,82.0,Nigeria,1996,,22.714681440443215
Darren Edward Clark,M,18.0,179.0,76.0,Australia,1984,,23.719609250647608
Darren Edward Clark,M,23.0,179.0,76.0,Australia,1988,,23.719609250647608
Davian Dessaline Clarke,M,20.0,178.0,78.0,Jamaica,1996,,24.61810377477591
Davian Dessaline Clarke,M,24.0,178.0,78.0,Jamaica,2000,,24.61810377477591
Davian Dessaline Clarke,M,28.0,178.0,78.0,Jamaica,2004,,24.61810377477591
"Douglas Bruce ""Doug"" Clement",M,18.0,,,Canada,1952,,
Georges Claude Clment,M,,,,France,1900,,
Laurent Clerc,M,24.0,180.0,79.0,Switzerland,1996,,24.382716049382715
Gerald Clervil,M,24.0,173.0,67.0,Haiti,2000,,22.386314277122523
John Murray Cockburn,M,23.0,173.0,,Canada,1956,,
"Glendon Howard ""Glen"" Cohen",M,22.0,185.0,76.0,Great Britain,1976,,22.20598977355734
"Glendon Howard ""Glen"" Cohen",M,26.0,185.0,76.0,Great Britain,1980,,22.20598977355734
"Gerrard Eugene ""Gene"" Cole",M,23.0,182.0,78.0,United States,1952,,23.547880690737834
Williams Collazo Gutirrez,M,21.0,172.0,71.0,Cuba,2008,,23.99945916711736
Wayne Curtis Collett,M,22.0,188.0,84.0,United States,1972,Silver,23.766410140334994
Umberto Colombo,M,,,,Italy,1900,,
"Toms ""Tom"" Coman",M,20.0,190.0,82.0,Ireland,2000,,22.714681440443215
Vincent Confait,M,24.0,179.0,67.0,Seychelles,1984,,20.91070815517618
Eswort Lorenzo Brian Coombs,M,23.0,187.0,74.0,Saint Vincent and the Grenadines,1996,,21.16160027452887
Joseph Coombs,M,28.0,185.0,80.0,Trinidad and Tobago,1980,,23.37472607742878
Arthur Cooper,M,20.0,173.0,66.0,Trinidad and Tobago,1972,,22.052190183434128
Gaiet Cornet Pamies,M,25.0,183.0,70.0,Spain,1988,,20.90238585804294
Gaiet Cornet Pamies,M,28.0,183.0,70.0,Spain,1992,,20.90238585804294
