Date,Longitude,Latitude
2016:004:16:40:01.0753,-25.055676666666667,16.686603333333334
2016:004:17:21:41.0809,-24.98384666666667,16.587593333333334
2016:004:18:03:21.0676,-24.905861666666667,16.482423333333333
2016:004:18:45:01.0755,-24.824001666666668,16.37586
2016:004:19:26:41.0753,-24.741901666666667,16.267503333333334
2016:004:20:08:21.0763,-24.66368,16.158943333333333
2016:004:20:50:01.0741,-24.583138333333334,16.051383333333334
2016:004:21:31:41.0735,-24.508651666666665,15.945826666666667
2016:004:22:13:21.0708,-24.433476666666667,15.841943333333333
2016:004:22:55:01.0886,-24.36858,15.756946666666666
2016:004:23:36:41.0782,-24.312185,15.681941666666667
2016:005:00:00:00.0835,-24.279111666666665,15.640288333333332
2016:005:00:41:40.0843,-24.220428333333334,15.563486666666666
2016:005:01:23:20.0705,-24.16256,15.486645
